Geographic code,Geographic name,"No certificate, diploma or degree",Secondary (high) school diploma or equivalency certificate[2],"Apprenticeship or trades certificate or diploma[3],[4]","College, CEGEP or other non-university certificate or diploma",University certificate or diploma below bachelor level,"University certificate, diploma or degree at bachelor level or above[5]"
1,Canada,18.3,26.5,9.8,19.4,2.8,23.3
10,Newfoundland and Labrador,23.4,25,11.3,23.1,2.4,14.8
11,Prince Edward Island,19.2,27.2,8.1,23.8,2.6,19.1
12,Nova Scotia,19.8,25.3,9.9,21.8,2.4,20.8
13,New Brunswick,22,28.5,9.1,21.8,1.9,16.7
24,Quebec,19.9,21.5,16.9,17.6,3.6,20.5
35,Ontario,17.5,27.4,6,20.8,2.2,26
46,Manitoba,22,29.6,7.7,17.7,2.9,20.1
47,Saskatchewan,20.7,30.5,10.4,17.1,3.3,18
48,Alberta,16.9,27.9,9.7,19.2,3,23.4
59,British Columbia,15.5,29.4,8.8,18.1,3.6,24.6
60,Yukon,16.3,23.6,10.9,21.2,2.8,25.1
61,Northwest Territories,27.4,21.4,9.8,18.9,2.5,20
62,Nunavut,50.7,15.1,7.7,15,0.9,10.6
